"","gnd_id","author","title","date","link"
"77402","http://d-nb.info/gnd/118637479","Stefan Zweig","Die Heilung durch d…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb6024"
"6558","http://d-nb.info/gnd/117276464","Alfred Schirokauer","Alarm",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb14835"
"9246","http://d-nb.info/gnd/116017538","Arthur Kahane","Die Thimigs",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb7738"
"9247","http://d-nb.info/gnd/116017538","Arthur Kahane","Theater",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb7735"
"18184","http://d-nb.info/gnd/116205989","Clara Blüthgen","Götzendienst",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb15296"
"18201","http://d-nb.info/gnd/118511653","Franz Blei","Männer und Masken",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb5670"
"19117","http://d-nb.info/gnd/118652818","Max Barthel","Blockhaus an der Wo…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb2880"
"19565","http://d-nb.info/gnd/11863318X","Bruno Wille","Der Maschinenmensch…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb15588"
"22057","http://d-nb.info/gnd/118590391","Carl von Ossietzky","Sämtliche Schriften…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb17025"
"25689","http://d-nb.info/gnd/119520621","Edlef Köppen","Heeresbericht",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb14111"
"25879","http://d-nb.info/gnd/118623230","Ernst Toller","Feuer aus den Kesse…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb11679"
"28429","http://d-nb.info/gnd/118535315","Sigmund Freud","Das Unbehagen in de…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb12357"
"28462","http://d-nb.info/gnd/118535315","Sigmund Freud","Goethe-Preis",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb12330"
"41098","http://d-nb.info/gnd/118553739","Ödön von Horvath","Der ewige Spießer",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb4789"
"41110","http://d-nb.info/gnd/118553739","Ödön von Horváth","Italienische Nacht",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb4799"
"41270","http://d-nb.info/gnd/118701592","Walther Harich","Der Kunstfälscher",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb16350"
"41392","http://d-nb.info/gnd/118763687","Hermann Ungar","Colberts Reise",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb12192"
"48250","http://d-nb.info/gnd/118603140","Joseph Roth","Hiob",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb15407"
"68224","http://d-nb.info/gnd/117033669","Paul Schreckenbach","Die von Wintzingero…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb14670"
"68229","http://d-nb.info/gnd/117033669","Paul Schreckenbach","Der König von Rothe…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb14674"
"77243","http://d-nb.info/gnd/117464546","Walter Seidl","Anasthase und das U…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb15083"
"78235","http://d-nb.info/gnd/119037742","Willy Seidel","Die magische Latern…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb8986"
"78236","http://d-nb.info/gnd/119037742","Willy Seidel","Die Himmel der Farb…",1930,"https://kolimo.uni-goettingen.de/text.html?id=gb8990"
"9530","http://d-nb.info/gnd/118637231","Albin Zollinger","Der halbe Mensch",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb16997"
"18911","http://d-nb.info/gnd/118512706","Wilhelm Bölsche","Drachen",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb16834"
"19638","http://d-nb.info/gnd/118878484","Helene Böhlau","Kristine",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb10568"
"25163","http://d-nb.info/gnd/118628739","Edgar Wallace","Die toten Augen von…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb5953"
"25700","http://d-nb.info/gnd/11861956X","Eduard Stucken","Im Schatten Shakesp…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb15570"
"40244","http://d-nb.info/gnd/118590561","Hans Ostwald","Das Zillebuch",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb16734"
"40326","http://d-nb.info/gnd/118612603","Hans von Seeckt","Gedanken eines Sold…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb5093"
"41716","http://d-nb.info/gnd/118617133","Hermann Stehr","Nathanael Maechler",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb18018"
"48258","http://d-nb.info/gnd/118603140","Joseph Roth","Rechts und Links",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb15391"
"55811","http://d-nb.info/gnd/118566288","Karl Kraus","Literatur und Lüge",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb19994"
"55897","http://d-nb.info/gnd/118562681","Klabund","Rasputin",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb7681"
"56331","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Befürchtung",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb7761"
"56336","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Was machen Menschen…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb7768"
"56337","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Schnipsel",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb7763"
"56385","http://d-nb.info/gnd/11872567X","Manfred Kyber","Die drei Lichter de…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb16971"
"61061","http://d-nb.info/gnd/122250656","Meinrad Lienert","Der doppelte Matthi…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb8902"
"65562","http://d-nb.info/gnd/118798987","Otto Stoessl","Menschendämmerung",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb6455"
"68094","http://d-nb.info/gnd/117306355","Paul Wertheimer","Respektlose Geschic…",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb10702"
"77387","http://d-nb.info/gnd/118637479","Stefan Zweig","Joseph Fouché",1929,"https://kolimo.uni-goettingen.de/text.html?id=gb6022"
